imageFile,corrAns,sameOrDiff,ori,thisN,thisTrialN,thisRepN,keyResp.keys,keyResp.rt,keyResp.duration,trials_faceRecognition.thisRepN,trials_faceRecognition.thisTrialN,trials_faceRecognition.thisN,trials_faceRecognition.thisIndex,thisRow.t,notes,instructions.started,text.started,key_space.started,instructions.stopped,key_space.keys,key_space.rt,key_space.duration,trial.started,same_text.started,different_text.started,image.started,keyResp.started,arrow_left.started,arrow_right.started,trial.stopped,trials_faceRecognition.keyResp.keys,trials_faceRecognition.keyResp.rt,trials_faceRecognition.keyResp.duration,feedback.started,textCorr.started,same_text_cont.started,different_text_cont.started,image_cont.started,arrow_left_cont.started,arrow_right_cont.started,feedback.stopped,textCorr.stopped,same_text_cont.stopped,different_text_cont.stopped,image_cont.stopped,arrow_left_cont.stopped,arrow_right_cont.stopped,thanks_message.started,thank_you_message.started,thank_you_message.stopped,thanks_message.stopped,Participant ID,Age,Gender,session,date,expName,psychopyVersion,frameRate,expStart,
same/081_C2_DV.jpg,left,same,0,6,6,0,right,0.14768769999500364,None,0,6,6,6,10.711310400045477,,,,,,,,,10.701929600036237,10.711310400045477,10.711310400045477,10.711310400045477,10.711310400045477,10.711310400045477,10.711310400045477,10.859982600028161,right,0.14768769999500364,None,10.872439200000372,10.8802017000271,10.8802017000271,10.8802017000271,10.8802017000271,10.8802017000271,10.8802017000271,11.075500200036913,,,,,,,,,,,031488,23,adfasdfa,001,2024-12-31_14h50.06.027,glasgowFaceRecognition-Yagmur,2024.2.4,60.066084713127445,2024-12-31 14h50.14.784092 +0300,
same/085_C2_DV.jpg,left,same,0,7,7,0,right,0.14882020000368357,None,0,7,7,7,11.094251700036693,,,,,,,,,11.085883299994748,11.094251700036693,11.094251700036693,11.094251700036693,11.094251700036693,11.094251700036693,11.094251700036693,11.25927010003943,right,0.14882020000368357,None,11.268930000020191,11.27774920000229,11.27774920000229,11.27774920000229,11.27774920000229,11.27774920000229,11.27774920000229,11.475272700015921,,,,,,,,,,,031488,23,adfasdfa,001,2024-12-31_14h50.06.027,glasgowFaceRecognition-Yagmur,2024.2.4,60.066084713127445,2024-12-31 14h50.14.784092 +0300,
same/092_C2_DV.jpg,left,same,0,8,8,0,right,0.07616460003191605,None,0,8,8,8,11.494554200035054,,,,,,,,,11.485188900027424,11.494554200035054,11.494554200035054,11.494554200035054,11.494554200035054,11.494554200035054,11.494554200035054,11.57629460003227,right,0.07616460003191605,None,11.586313500010874,11.594389000034425,11.594389000034425,11.594389000034425,11.594389000034425,11.594389000034425,11.594389000034425,11.792159100004937,,,,,,,,,,,031488,23,adfasdfa,001,2024-12-31_14h50.06.027,glasgowFaceRecognition-Yagmur,2024.2.4,60.066084713127445,2024-12-31 14h50.14.784092 +0300,
same/102_C2_DV.jpg,left,same,0,9,9,0,right,None,None,0,9,9,9,11.811071400006767,,,,,,,,,11.802068300021347,11.811071400006767,11.811071400006767,11.811071400006767,11.811071400006767,11.811071400006767,11.811071400006767,11.942818000039551,right,None,None,11.953271400008816,11.961586000048555,11.961586000048555,11.961586000048555,11.961586000048555,11.961586000048555,11.961586000048555,12.158796500007156,,,,,,,,,,,031488,23,adfasdfa,001,2024-12-31_14h50.06.027,glasgowFaceRecognition-Yagmur,2024.2.4,60.066084713127445,2024-12-31 14h50.14.784092 +0300,
same/108_DV_C2.jpg,left,same,0,10,10,0,left,None,None,0,10,10,10,12.178636800032109,,,,,,,,,12.16895730001852,12.178636800032109,12.178636800032109,12.178636800032109,12.178636800032109,12.178636800032109,12.178636800032109,12.259313400019892,left,None,None,12.268604000040796,12.277538500027731,12.277538500027731,12.277538500027731,12.277538500027731,12.277538500027731,12.277538500027731,12.47526870004367,,,,,,,,,,,031488,23,adfasdfa,001,2024-12-31_14h50.06.027,glasgowFaceRecognition-Yagmur,2024.2.4,60.066084713127445,2024-12-31 14h50.14.784092 +0300,
same/115_C2_DV.jpg,left,same,0,11,11,0,right,0.03669810004066676,None,0,11,11,11,12.494326100044418,,,,,,,,,12.48481220001122,12.494326100044418,12.494326100044418,12.494326100044418,12.494326100044418,12.494326100044418,12.494326100044418,12.542591200035531,right,0.03669810004066676,None,12.552950200042687,12.560892300039995,12.560892300039995,12.560892300039995,12.560892300039995,12.560892300039995,12.560892300039995,12.758659200044349,,,,,,,,,,,031488,23,adfasdfa,001,2024-12-31_14h50.06.027,glasgowFaceRecognition-Yagmur,2024.2.4,60.066084713127445,2024-12-31 14h50.14.784092 +0300,
same/120_DV_C2.jpg,left,same,0,12,12,0,right,None,None,0,12,12,12,12.777469200023916,,,,,,,,,12.768472400028259,12.777469200023916,12.777469200023916,12.777469200023916,12.777469200023916,12.777469200023916,12.777469200023916,12.876581000047736,right,None,None,12.887116600002628,12.89490840001963,12.89490840001963,12.89490840001963,12.89490840001963,12.89490840001963,12.89490840001963,13.092034400033299,,,,,,,,,,,031488,23,adfasdfa,001,2024-12-31_14h50.06.027,glasgowFaceRecognition-Yagmur,2024.2.4,60.066084713127445,2024-12-31 14h50.14.784092 +0300,
same/129_C2_DV.jpg,left,same,0,13,13,0,left,0.035082200018223375,None,0,13,13,13,13.11077720002504,,,,,,,,,13.101703700027429,13.11077720002504,13.11077720002504,13.11077720002504,13.11077720002504,13.11077720002504,13.11077720002504,13.159014200035017,left,0.035082200018223375,None,13.169722500024363,13.17809830000624,13.17809830000624,13.17809830000624,13.17809830000624,13.17809830000624,13.17809830000624,13.37517569999909,,,,,,,,,,,031488,23,adfasdfa,001,2024-12-31_14h50.06.027,glasgowFaceRecognition-Yagmur,2024.2.4,60.066084713127445,2024-12-31 14h50.14.784092 +0300,
same/136_C2_DV.jpg,left,same,0,14,14,0,right,0.13686900003813207,None,0,14,14,14,13.393849200045224,,,,,,,,,13.384626600018237,13.393849200045224,13.393849200045224,13.393849200045224,13.393849200045224,13.393849200045224,13.393849200045224,13.54316340002697,right,0.13686900003813207,None,13.558063100033905,13.566034900024533,13.566034900024533,13.566034900024533,13.566034900024533,13.566034900024533,13.566034900024533,13.758291600039229,,,,,,,,,,,031488,23,adfasdfa,001,2024-12-31_14h50.06.027,glasgowFaceRecognition-Yagmur,2024.2.4,60.066084713127445,2024-12-31 14h50.14.784092 +0300,
same/139_DV_C2.jpg,left,same,0,15,15,0,right,0.032997699978295714,None,0,15,15,15,13.777277700020932,,,,,,,,,13.767964700004086,13.777277700020932,13.777277700020932,13.777277700020932,13.777277700020932,13.777277700020932,13.777277700020932,13.825587600003928,right,0.032997699978295714,None,13.835386000049766,13.84409000002779,13.84409000002779,13.84409000002779,13.84409000002779,13.84409000002779,13.84409000002779,14.041586800012738,,,,,,,,,,,031488,23,adfasdfa,001,2024-12-31_14h50.06.027,glasgowFaceRecognition-Yagmur,2024.2.4,60.066084713127445,2024-12-31 14h50.14.784092 +0300,
