imageFile,corrAns,sameOrDiff,ori,thisN,thisTrialN,thisRepN,keyResp.keys,keyResp.rt,keyResp.duration,trials_faceRecognition.thisRepN,trials_faceRecognition.thisTrialN,trials_faceRecognition.thisN,trials_faceRecognition.thisIndex,thisRow.t,notes,instructions.started,text.started,key_space.started,instructions.stopped,key_space.keys,key_space.rt,key_space.duration,trial.started,same_text.started,different_text.started,image.started,keyResp.started,arrow_left.started,arrow_right.started,trial.stopped,trials_faceRecognition.keyResp.keys,trials_faceRecognition.keyResp.rt,trials_faceRecognition.keyResp.duration,feedback.started,textCorr.started,same_text_cont.started,different_text_cont.started,image_cont.started,arrow_left_cont.started,arrow_right_cont.started,feedback.stopped,textCorr.stopped,same_text_cont.stopped,different_text_cont.stopped,image_cont.stopped,arrow_left_cont.stopped,arrow_right_cont.stopped,Participant ID,Age,Gender,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.001673899998422712,0.004346399975474924,0.004346399975474924,4.424870499991812,space,4.4064867999986745,None,,,,,,,,,,,,,,,,,,,,,,,,,,857342,42134123412,adadasda,001,2024-12-31_14h48.19.011,glasgowFaceRecognition-Yagmur,2024.2.4,60.09467314137715,2024-12-31 14h48.31.752190 +0300,
same/020_C2_DV.jpg,left,same,0,0,0,0,left,0.7692511999630369,None,0,0,0,0,4.505381599999964,,,,,,,,,4.469046999991406,4.505381599999964,4.505381599999964,4.505381599999964,4.505381599999964,4.505381599999964,4.505381599999964,5.288997399969958,left,0.7692511999630369,None,5.306845500017516,5.321865500009153,5.321865500009153,5.321865500009153,5.321865500009153,5.321865500009153,5.321865500009153,5.50478740001563,,,,,,,857342,42134123412,adadasda,001,2024-12-31_14h48.19.011,glasgowFaceRecognition-Yagmur,2024.2.4,60.09467314137715,2024-12-31 14h48.31.752190 +0300,
same/025_C2_DV.jpg,left,same,0,1,1,0,right,0.24446489999536425,None,0,1,1,1,5.614184900012333,,,,,,,,,5.6072355000069365,5.614184900012333,5.614184900012333,5.614184900012333,5.614184900012333,5.614184900012333,5.614184900012333,5.8724321000045165,right,0.24446489999536425,None,5.889229499967769,5.8965773999807425,5.8965773999807425,5.8965773999807425,5.8965773999807425,5.8965773999807425,5.8965773999807425,6.088056100008544,,,,,,,857342,42134123412,adadasda,001,2024-12-31_14h48.19.011,glasgowFaceRecognition-Yagmur,2024.2.4,60.09467314137715,2024-12-31 14h48.31.752190 +0300,
same/068_C2_DV.jpg,left,same,0,2,2,0,left,0.11149380001006648,None,0,2,2,2,6.1076920999912545,,,,,,,,,6.100940499978606,6.1076920999912545,6.1076920999912545,6.1076920999912545,6.1076920999912545,6.1076920999912545,6.1076920999912545,6.222188499988988,left,0.11149380001006648,None,6.23502899997402,6.242623199999798,6.242623199999798,6.242623199999798,6.242623199999798,6.242623199999798,6.242623199999798,6.438351100019645,,,,,,,857342,42134123412,adadasda,001,2024-12-31_14h48.19.011,glasgowFaceRecognition-Yagmur,2024.2.4,60.09467314137715,2024-12-31 14h48.31.752190 +0300,
same/069_C2_DV.jpg,left,same,0,3,3,0,left,0.21660600003087893,None,0,3,3,3,6.54630669998005,,,,,,,,,6.539640099974349,6.54630669998005,6.54630669998005,6.54630669998005,6.54630669998005,6.54630669998005,6.54630669998005,6.772175499994773,left,0.21660600003087893,None,6.784068699984346,6.791697099979501,6.791697099979501,6.791697099979501,6.791697099979501,6.791697099979501,6.791697099979501,6.988176900020335,,,,,,,857342,42134123412,adadasda,001,2024-12-31_14h48.19.011,glasgowFaceRecognition-Yagmur,2024.2.4,60.09467314137715,2024-12-31 14h48.31.752190 +0300,
same/074_C2_DV.jpg,left,same,0,4,4,0,left,0.15652240003691986,None,0,4,4,4,7.094900699972641,,,,,,,,,7.0873937999713235,7.094900699972641,7.094900699972641,7.094900699972641,7.094900699972641,7.094900699972641,7.094900699972641,7.255478699982632,left,0.15652240003691986,None,7.266618599998765,7.274368499987759,7.274368499987759,7.274368499987759,7.274368499987759,7.274368499987759,7.274368499987759,7.471414699975867,,,,,,,857342,42134123412,adadasda,001,2024-12-31_14h48.19.011,glasgowFaceRecognition-Yagmur,2024.2.4,60.09467314137715,2024-12-31 14h48.31.752190 +0300,
same/075_DV_C2.jpg,left,same,0,5,5,0,right,0.03215829998953268,None,0,5,5,5,7.490862199978437,,,,,,,,,7.484256399970036,7.490862199978437,7.490862199978437,7.490862199978437,7.490862199978437,7.490862199978437,7.490862199978437,7.538899899984244,right,0.03215829998953268,None,7.552303900010884,7.559685999993235,7.559685999993235,7.559685999993235,7.559685999993235,7.559685999993235,7.559685999993235,7.754652899981011,,,,,,,857342,42134123412,adadasda,001,2024-12-31_14h48.19.011,glasgowFaceRecognition-Yagmur,2024.2.4,60.09467314137715,2024-12-31 14h48.31.752190 +0300,
same/081_C2_DV.jpg,left,same,0,6,6,0,right,0.18159769999329,None,0,6,6,6,7.861115199979395,,,,,,,,,7.8540743999765255,7.861115199979395,7.861115199979395,7.861115199979395,7.861115199979395,7.861115199979395,7.861115199979395,8.05533150001429,right,0.18159769999329,None,8.069240499986336,8.076931799994782,8.076931799994782,8.076931799994782,8.076931799994782,8.076931799994782,8.076931799994782,8.271455199981574,,,,,,,857342,42134123412,adadasda,001,2024-12-31_14h48.19.011,glasgowFaceRecognition-Yagmur,2024.2.4,60.09467314137715,2024-12-31 14h48.31.752190 +0300,
same/085_C2_DV.jpg,left,same,0,7,7,0,left,0.01660149998497218,None,0,7,7,7,8.298249699990265,,,,,,,,,8.291200699983165,8.298249699990265,8.298249699990265,8.298249699990265,8.298249699990265,8.298249699990265,8.298249699990265,8.321846899983939,left,0.01660149998497218,None,8.338097199972253,8.346963600022718,8.346963600022718,8.346963600022718,8.346963600022718,8.346963600022718,8.346963600022718,8.537907899997663,,,,,,,857342,42134123412,adadasda,001,2024-12-31_14h48.19.011,glasgowFaceRecognition-Yagmur,2024.2.4,60.09467314137715,2024-12-31 14h48.31.752190 +0300,
same/092_C2_DV.jpg,left,same,0,8,8,0,right,0.006999499979428947,None,0,8,8,8,8.563338299980387,,,,,,,,,8.556284299993422,8.563338299980387,8.563338299980387,8.563338299980387,8.563338299980387,8.563338299980387,8.563338299980387,8.571777299977839,right,0.006999499979428947,None,8.58463340002345,8.591887400019914,8.591887400019914,8.591887400019914,8.591887400019914,8.591887400019914,8.591887400019914,8.78788610000629,,,,,,,857342,42134123412,adadasda,001,2024-12-31_14h48.19.011,glasgowFaceRecognition-Yagmur,2024.2.4,60.09467314137715,2024-12-31 14h48.31.752190 +0300,
